ex_date,lab_date,std,std_conc_NH4,std_conc_NO3,plot,treatment,depth,tube_ID,lab_replicate,ammonium_id,nitrate_id,position,cancel_nitrate,cancel_ammonium,notes
,4/6/2021,1,0,0,,,,,,NH4_20210406A,NO3_20210406A,1,,,
,4/6/2021,1,0.25,0.5,,,,,,NH4_20210406A,NO3_20210406A,2,,,
,4/6/2021,1,0.5,1,,,,,,NH4_20210406A,NO3_20210406A,3,,,
,4/6/2021,1,0.75,2,,,,,,NH4_20210406A,NO3_20210406A,4,,,
,4/6/2021,1,1,3,,,,,,NH4_20210406A,NO3_20210406A,5,,,
,4/6/2021,1,2,4,,,,,,NH4_20210406A,NO3_20210406A,6,,,
,4/6/2021,1,3,5,,,,,,NH4_20210406A,NO3_20210406A,7,,1,
,4/6/2021,1,3,,,,,,,NH4_20210406A,NO3_20210406A,8,,,
10/7/2020,4/6/2021,,,,w,1,10,D,,NH4_20210406A,NO3_20210406A,9,,,
10/7/2020,4/6/2021,,,,w,1,20,D,,NH4_20210406A,NO3_20210406A,10,,,
10/7/2020,4/6/2021,,,,w,1,30,D,,NH4_20210406A,NO3_20210406A,11,,,
10/7/2020,4/6/2021,,,,w,1,40,D,,NH4_20210406A,NO3_20210406A,12,,,
10/7/2020,4/6/2021,,,,w,1,50,D,,NH4_20210406A,NO3_20210406A,13,,,
10/7/2020,4/6/2021,,,,w,2,10,D,,NH4_20210406A,NO3_20210406A,14,,,
10/7/2020,4/6/2021,,,,w,2,20,D,,NH4_20210406A,NO3_20210406A,15,,,
10/7/2020,4/6/2021,,,,w,2,30,D,,NH4_20210406A,NO3_20210406A,16,,,
10/7/2020,4/6/2021,,,,w,2,40,D,,NH4_20210406A,NO3_20210406A,17,,,
10/7/2020,4/6/2021,,,,w,2,50,D,,NH4_20210406A,NO3_20210406A,18,,,
10/7/2020,4/6/2021,,,,w,3,10,D,,NH4_20210406A,NO3_20210406A,19,,,
10/7/2020,4/6/2021,,,,w,3,20,D,,NH4_20210406A,NO3_20210406A,20,,,
10/7/2020,4/6/2021,,,,w,3,30,D,,NH4_20210406A,NO3_20210406A,21,,,
10/7/2020,4/6/2021,,,,w,3,40,D,,NH4_20210406A,NO3_20210406A,22,1,,
10/7/2020,4/6/2021,,,,w,3,50,D,,NH4_20210406A,NO3_20210406A,23,,,
10/7/2020,4/6/2021,,,,w,4,10,D,,NH4_20210406A,NO3_20210406A,24,,,
10/7/2020,4/6/2021,,,,w,4,20,D,,NH4_20210406A,NO3_20210406A,25,,,
10/7/2020,4/6/2021,,,,w,4,30,D,,NH4_20210406A,NO3_20210406A,26,,,
10/7/2020,4/6/2021,,,,w,4,40,D,,NH4_20210406A,NO3_20210406A,27,,,
10/7/2020,4/6/2021,,,,w,4,50,D,,NH4_20210406A,NO3_20210406A,28,,,
10/7/2020,4/6/2021,,,,w,5,10,D,,NH4_20210406A,NO3_20210406A,29,,,
10/7/2020,4/6/2021,,,,w,5,20,D,,NH4_20210406A,NO3_20210406A,30,,,
10/7/2020,4/6/2021,,,,w,5,30,D,,NH4_20210406A,NO3_20210406A,31,,,
10/7/2020,4/6/2021,,,,w,5,40,D,,NH4_20210406A,NO3_20210406A,32,,,
10/7/2020,4/6/2021,,,,w,5,50,D,,NH4_20210406A,NO3_20210406A,33,,,
10/7/2020,4/6/2021,,,,w,6,10,D,,NH4_20210406A,NO3_20210406A,34,,,
10/7/2020,4/6/2021,,,,w,6,20,D,,NH4_20210406A,NO3_20210406A,35,,,
