ex_date,lab_date,std,std_conc_NH4,std_conc_NO3,plot,treatment,depth,tube_ID,lab_replicate,ammonium_id,nitrate_id,position,cancel_nitrate,cancel_ammonium,notes
,4/5/2021,1,0,0,,,,,,NH4_20210405A,NO3_20210405A,1,,,
,4/5/2021,1,0.5,0.5,,,,,,NH4_20210405A,NO3_20210405A,2,,,
,4/5/2021,1,1,1,,,,,,NH4_20210405A,NO3_20210405A,3,,,
,4/5/2021,1,2,2,,,,,,NH4_20210405A,NO3_20210405A,4,,1,
,4/5/2021,1,3,3,,,,,,NH4_20210405A,NO3_20210405A,5,,1,
,4/5/2021,1,4,4,,,,,,NH4_20210405A,NO3_20210405A,6,1,1,
,4/5/2021,1,5,5,,,,,,NH4_20210405A,NO3_20210405A,7,1,1,
8/23/2020,4/5/2021,,,,c,1,10,B,,NH4_20210405A,NO3_20210405A,9,,,
8/23/2020,4/5/2021,,,,c,1,20,B,,NH4_20210405A,NO3_20210405A,10,,,
8/23/2020,4/5/2021,,,,c,1,30,B,,NH4_20210405A,NO3_20210405A,11,,,
8/23/2020,4/5/2021,,,,c,1,40,B,,NH4_20210405A,NO3_20210405A,12,,,
8/23/2020,4/5/2021,,,,c,1,50,B,,NH4_20210405A,NO3_20210405A,13,,,
8/23/2020,4/5/2021,,,,c,2,10,B,,NH4_20210405A,NO3_20210405A,14,,,
8/23/2020,4/5/2021,,,,c,2,20,B,,NH4_20210405A,NO3_20210405A,15,1,,
8/23/2020,4/5/2021,,,,c,2,30,B,,NH4_20210405A,NO3_20210405A,16,1,,
8/23/2020,4/5/2021,,,,c,2,40,B,,NH4_20210405A,NO3_20210405A,17,,,
8/23/2020,4/5/2021,,,,c,2,50,B,,NH4_20210405A,NO3_20210405A,18,,,
8/23/2020,4/5/2021,,,,c,3,10,B,,NH4_20210405A,NO3_20210405A,19,,,
8/23/2020,4/5/2021,,,,c,3,20,B,,NH4_20210405A,NO3_20210405A,20,,,
8/23/2020,4/5/2021,,,,c,3,30,B,,NH4_20210405A,NO3_20210405A,21,,,
8/23/2020,4/5/2021,,,,c,3,40,B,,NH4_20210405A,NO3_20210405A,22,,,
8/23/2020,4/5/2021,,,,c,3,50,B,,NH4_20210405A,NO3_20210405A,23,,,
8/23/2020,4/5/2021,,,,c,4,10,B,,NH4_20210405A,NO3_20210405A,24,1,,
8/23/2020,4/5/2021,,,,c,4,20,B,,NH4_20210405A,NO3_20210405A,25,,,
8/23/2020,4/5/2021,,,,c,4,30,B,,NH4_20210405A,NO3_20210405A,26,,,
8/23/2020,4/5/2021,,,,c,4,40,B,,NH4_20210405A,NO3_20210405A,27,,,
8/23/2020,4/5/2021,,,,c,4,50,B,,NH4_20210405A,NO3_20210405A,28,,,
8/23/2020,4/5/2021,,,,c,5,10,B,,NH4_20210405A,NO3_20210405A,29,,,
8/23/2020,4/5/2021,,,,c,5,20,B,,NH4_20210405A,NO3_20210405A,30,,,
8/23/2020,4/5/2021,,,,c,5,30,B,,NH4_20210405A,NO3_20210405A,31,,,
8/23/2020,4/5/2021,,,,c,5,40,B,,NH4_20210405A,NO3_20210405A,32,,,
8/23/2020,4/5/2021,,,,c,5,50,B,,NH4_20210405A,NO3_20210405A,33,,,
8/23/2020,4/5/2021,,,,c,6,10,B,,NH4_20210405A,NO3_20210405A,34,,,
8/23/2020,4/5/2021,,,,c,6,20,B,,NH4_20210405A,NO3_20210405A,35,,,
8/23/2020,4/5/2021,,,,c,6,30,B,,NH4_20210405A,NO3_20210405A,36,,,
8/23/2020,4/5/2021,,,,c,6,40,B,,NH4_20210405A,NO3_20210405A,37,,,
8/23/2020,4/5/2021,,,,c,6,50,B,,NH4_20210405A,NO3_20210405A,38,,,
8/23/2020,4/5/2021,,,,c,7,10,B,,NH4_20210405A,NO3_20210405A,39,,,
8/23/2020,4/5/2021,,,,c,7,20,B,,NH4_20210405A,NO3_20210405A,40,,,
